date_time,total_load_forecast,price_forecast
2015-01-01 00:00:00,26118.0,50.1
2015-01-01 01:00:00,24934.0,48.1
2015-01-01 02:00:00,23515.0,47.33
2015-01-01 03:00:00,22642.0,42.27
2015-01-01 04:00:00,21785.0,38.41
2015-01-01 05:00:00,21441.0,35.72
2015-01-01 06:00:00,21285.0,35.13
2015-01-01 07:00:00,21545.0,36.22
2015-01-01 08:00:00,21443.0,32.4
2015-01-01 09:00:00,21560.0,36.6
2015-01-01 10:00:00,22824.0,43.1
2015-01-01 11:00:00,23720.0,45.14
2015-01-01 12:00:00,24180.0,45.14
2015-01-01 13:00:00,24797.0,47.35
2015-01-01 14:00:00,25222.0,47.35
2015-01-01 15:00:00,24173.0,43.61
2015-01-01 16:00:00,23659.0,44.91
2015-01-01 17:00:00,23982.0,48.1
2015-01-01 18:00:00,26981.0,58.02
2015-01-01 19:00:00,28515.0,61.01
2015-01-01 20:00:00,30482.0,62.69
2015-01-01 21:00:00,30739.0,60.41
2015-01-01 22:00:00,29756.0,58.15
2015-01-01 23:00:00,27589.0,53.6
2015-01-02 00:00:00,27309.0,10.0
2015-01-02 01:00:00,25397.0,7.0
2015-01-02 02:00:00,23640.0,5.0
2015-01-02 03:00:00,22638.0,4.0
2015-01-02 04:00:00,22238.0,4.0
2015-01-02 05:00:00,22299.0,4.8
2015-01-02 06:00:00,22660.0,5.0
2015-01-02 07:00:00,23449.0,7.04
2015-01-02 08:00:00,24067.0,7.04
2015-01-02 09:00:00,25737.0,7.88
2015-01-02 10:00:00,27883.0,10.71
2015-01-02 11:00:00,28969.0,10.0
2015-01-02 12:00:00,28894.0,7.04
2015-01-02 13:00:00,29460.0,7.0
2015-01-02 14:00:00,29389.0,6.33
2015-01-02 15:00:00,28231.0,5.0
2015-01-02 16:00:00,27716.0,6.21
2015-01-02 17:00:00,27981.0,9.98
2015-01-02 18:00:00,30136.0,33.15
2015-01-02 19:00:00,32754.0,50.0
2015-01-02 20:00:00,33968.0,52.01
2015-01-02 21:00:00,33870.0,50.01
2015-01-02 22:00:00,32715.0,45.8
2015-01-02 23:00:00,30052.0,41.74
2015-01-03 00:00:00,26323.0,35.62
2015-01-03 01:00:00,24301.0,27.1
2015-01-03 02:00:00,22651.0,25.0
2015-01-03 03:00:00,21785.0,20.01
2015-01-03 04:00:00,21418.0,17.1
2015-01-03 05:00:00,21317.0,17.22
2015-01-03 06:00:00,21768.0,20.14
2015-01-03 07:00:00,22276.0,19.87
2015-01-03 08:00:00,22674.0,20.22
2015-01-03 09:00:00,24595.0,25.22
2015-01-03 10:00:00,26431.0,25.13
2015-01-03 11:00:00,27260.0,27.1
2015-01-03 12:00:00,27165.0,28.71
2015-01-03 13:00:00,27449.0,25.0
2015-01-03 14:00:00,27154.0,23.68
2015-01-03 15:00:00,26011.0,14.87
2015-01-03 16:00:00,25162.0,11.7
2015-01-03 17:00:00,24691.0,19.52
2015-01-03 18:00:00,25293.0,25.13
2015-01-03 19:00:00,28421.0,39.71
2015-01-03 20:00:00,30293.0,44.0
2015-01-03 21:00:00,30828.0,41.21
2015-01-03 22:00:00,29896.0,35.69
2015-01-03 23:00:00,27700.0,30.23
2015-01-04 00:00:00,25481.0,24.65
2015-01-04 01:00:00,23734.0,20.2
2015-01-04 02:00:00,22658.0,19.16
2015-01-04 03:00:00,22130.0,21.9
2015-01-04 04:00:00,21879.0,14.9
2015-01-04 05:00:00,22230.0,24.65
2015-01-04 06:00:00,23903.0,28.01
2015-01-04 07:00:00,26742.0,27.51
2015-01-04 08:00:00,28481.0,33.96
2015-01-04 09:00:00,29705.0,38.0
2015-01-04 10:00:00,30656.0,37.17
2015-01-04 11:00:00,30717.0,35.01
2015-01-04 12:00:00,30616.0,38.0
2015-01-04 13:00:00,30287.0,38.12
2015-01-04 14:00:00,29451.0,30.4
2015-01-04 15:00:00,28730.0,27.58
2015-01-04 16:00:00,28393.0,27.56
2015-01-04 17:00:00,28062.0,27.5
2015-01-04 18:00:00,27317.0,26.53
2015-01-04 19:00:00,27189.0,30.0
2015-01-04 20:00:00,28914.0,39.7
2015-01-04 21:00:00,30333.0,40.48
2015-01-04 22:00:00,28341.0,37.97
2015-01-04 23:00:00,26412.0,28.0
2015-01-05 00:00:00,25149.0,43.49
2015-01-05 01:00:00,23630.0,35.5
2015-01-05 02:00:00,22590.0,35.2
2015-01-05 03:00:00,21912.0,35.2
