,price day ahead
0,50.1
1,48.1
2,47.33
3,42.27
4,38.41
5,35.72
6,35.13
7,36.22
8,32.4
9,36.6
10,43.1
11,45.14
12,45.14
13,47.35
14,47.35
15,43.61
16,44.91
17,48.1
18,58.02
19,61.01
20,62.69
21,60.41
22,58.15
23,53.6
24,10.0
25,7.0
26,5.0
27,4.0
28,4.0
29,4.8
30,5.0
31,7.04
32,7.04
33,7.88
34,10.71
35,10.0
36,7.04
37,7.0
38,6.33
39,5.0
40,6.21
41,9.98
42,33.15
43,50.0
44,52.01
45,50.01
46,45.8
47,41.74
48,35.62
49,27.1
50,25.0
51,20.01
52,17.1
53,17.22
54,20.14
55,19.87
56,20.22
57,25.22
58,25.13
59,27.1
60,28.71
61,25.0
62,23.68
63,14.87
64,11.7
65,19.52
66,25.13
67,39.71
68,44.0
69,41.21
70,35.69
71,30.23
72,24.65
73,20.2
74,19.16
75,21.9
76,14.9
77,24.65
78,28.01
79,27.51
80,33.96
81,38.0
82,37.17
83,35.01
84,38.0
85,38.12
86,30.4
87,27.58
88,27.56
89,27.5
90,26.53
91,30.0
92,39.7
93,40.48
94,37.97
95,28.0
96,43.49
97,35.5
98,35.2
99,35.2
100,30.6
101,30.6
102,30.6
103,30.0
104,30.6
105,35.3
106,35.2
107,35.4
108,35.5
109,36.8
110,32.5
111,30.0
112,30.0
113,30.6
114,42.01
115,51.4
116,55.35
117,62.0
118,60.01
119,57.6
120,53.01
121,45.65
122,44.04
123,43.58
124,43.98
125,44.91
126,51.0
127,55.76
128,59.95
129,60.5
130,61.29
131,61.69
132,61.95
133,61.29
134,60.09
135,60.5
136,60.69
137,60.69
138,58.9
139,57.0
140,57.0
141,59.88
142,59.6
143,55.76
144,59.52
145,51.1
146,47.03
147,48.5
148,48.79
149,50.51
150,59.13
151,60.8
152,61.87
153,64.23
154,66.5
155,67.1
156,66.1
157,65.0
158,59.75
159,59.61
160,59.53
161,61.1
162,61.1
163,61.1
164,61.87
165,63.71
166,64.1
167,59.13
168,49.0
169,46.86
170,45.68
171,44.99
172,44.81
173,44.68
174,44.81
175,44.81
176,46.85
177,49.0
178,54.36
179,61.98
180,62.47
181,62.93
182,61.98
183,57.48
184,54.38
185,54.36
186,52.04
187,54.38
188,60.33
189,66.0
190,63.6
191,55.5
192,60.47
193,52.88
194,48.62
195,47.69
196,45.85
197,45.78
198,49.3
199,55.93
200,60.47
201,57.5
202,59.57
203,60.47
204,63.52
205,63.69
206,60.47
207,60.1
208,62.53
209,63.01
210,62.29
211,61.51
212,65.5
213,67.67
214,61.51
215,54.9
216,56.65
217,53.5
218,49.69
219,49.1
220,51.25
221,53.6
222,58.02
223,63.03
224,63.56
225,64.66
226,63.9
227,61.9
228,60.9
229,59.8
230,56.8
231,53.6
232,53.5
233,54.9
234,55.26
235,61.0
236,61.69
237,61.0
238,56.8
239,53.0
240,53.21
241,36.1
242,34.0
243,31.0
244,25.17
245,25.46
246,26.56
247,26.25
248,26.26
249,27.3
250,27.42
251,27.87
252,28.24
253,27.49
254,27.27
255,24.14
256,24.65
257,31.0
258,41.7
259,50.34
260,46.48
261,40.0
262,36.9
263,32.79
264,66.17
265,61.57
266,56.7
267,54.5
268,53.96
269,56.7
270,62.69
271,69.37
272,68.0
273,70.5
274,70.5
275,68.5
276,67.2
277,66.46
278,64.76
279,64.76
280,65.23
281,66.5
282,72.5
283,72.58
284,72.07
285,68.8
286,65.23
287,63.29
288,46.17
289,42.0
290,40.8
291,39.69
292,39.2
293,40.0
294,44.93
295,58.34
296,62.2
297,66.2
298,68.52
299,66.49
300,63.31
301,61.84
302,57.46
303,57.59
304,60.69
305,62.56
306,67.11
307,70.2
308,69.1
309,63.89
310,61.84
311,54.96
312,48.04
313,43.22
314,43.05
315,43.21
316,43.05
317,46.83
318,60.69
319,68.03
320,71.46
321,78.9
322,81.12
323,77.15
324,71.15
325,68.25
326,63.89
327,63.01
328,64.89
329,67.11
330,69.96
331,70.52
332,68.75
333,62.99
334,55.0
335,45.67
336,39.0
337,35.0
338,34.73
339,33.04
340,32.25
341,33.0
342,38.0
343,48.62
344,57.59
345,63.01
346,64.0
347,62.01
348,54.87
349,45.3
350,41.35
351,40.8
352,45.03
353,52.47
354,61.69
355,63.43
356,62.01
357,54.12
358,42.35
359,40.13
360,36.0
361,34.0
362,33.04
363,33.04
364,33.73
365,35.0
366,40.69
367,57.93
368,64.89
369,70.52
370,71.25
371,68.69
372,62.56
373,58.34
374,48.84
375,46.25
376,54.02
377,58.98
378,63.52
379,66.94
380,64.89
381,59.88
382,55.02
383,45.34
384,36.54
385,33.8
386,33.04
387,33.04
388,33.04
389,34.0
390,36.0
391,41.19
392,48.2
393,60.64
394,64.88
395,64.88
396,62.5
397,58.69
398,47.0
399,40.4
400,39.84
401,43.1
402,56.68
403,59.82
404,57.59
405,53.7
406,42.25
407,37.78
408,36.24
409,33.8
410,28.75
411,27.57
412,25.0
413,27.25
414,28.79
415,33.6
416,34.9
417,39.84
418,43.97
419,53.98
420,50.1
421,53.69
422,52.8
423,42.51
424,42.0
425,42.51
426,55.57
427,60.8
428,59.82
429,57.59
430,53.69
431,42.51
432,38.24
433,34.9
434,33.04
435,29.53
436,28.07
437,31.17
438,39.2
439,52.07
440,56.49
441,64.88
442,65.02
443,64.88
444,59.07
445,55.69
446,47.72
447,47.43
448,54.56
449,60.69
450,67.25
451,70.01
452,69.0
453,65.69
454,60.76
455,56.69
456,46.67
457,42.44
458,42.02
459,40.0
460,39.4
461,42.02
462,47.43
463,63.89
464,67.69
465,71.15
466,77.51
467,74.75
468,69.89
469,67.94
470,65.01
471,65.01
472,66.6
473,67.94
474,69.89
475,70.91
476,69.18
477,65.75
478,63.1
479,57.59
480,60.01
481,47.43
482,45.94
483,43.77
484,42.0
485,42.88
486,46.04
487,59.82
488,62.33
489,65.69
490,67.75
491,65.01
492,59.01
493,52.6
494,45.13
495,44.95
496,46.25
497,55.47
498,59.82
499,58.34
500,55.02
501,45.0
502,42.0
503,38.5
504,39.96
505,38.4
506,36.98
507,33.33
508,33.04
509,33.33
510,39.2
511,45.03
512,57.2
513,61.57
514,63.27
515,61.45
516,55.35
517,54.01
518,47.43
519,47.37
520,51.99
521,59.2
522,64.56
523,65.0
524,63.91
525,60.76
526,55.1
527,48.0
528,44.45
529,42.1
530,39.4
531,38.0
532,35.0
533,38.0
534,43.6
535,57.66
536,62.1
537,67.01
538,68.5
539,67.0
540,62.78
541,59.65
542,48.25
543,47.1
544,52.6
545,58.34
546,62.42
547,65.0
548,63.13
549,60.03
550,57.59
551,47.87
552,44.01
553,43.12
554,40.43
555,36.1
556,35.0
557,35.0
558,39.1
559,41.35
560,42.58
561,51.9
562,57.1
563,57.59
564,55.79
565,52.6
566,45.2
567,43.1
568,40.43
569,43.52
570,53.04
571,57.9
572,57.59
573,57.25
574,50.95
575,45.95
576,39.79
577,31.4
578,25.83
579,28.58
580,25.88
581,28.13
582,30.0
583,30.6
584,32.8
585,38.4
586,40.5
587,41.0
588,40.5
589,40.44
590,38.5
591,34.82
592,35.9
593,40.5
594,55.1
595,62.7
596,63.89
597,61.95
598,58.34
599,51.1
600,40.84
601,38.0
602,35.09
603,35.0
604,35.63
605,36.99
606,45.1
607,60.76
608,65.01
609,68.85
610,69.7
611,69.49
612,67.48
613,65.78
614,61.64
615,60.76
616,62.75
617,65.78
